2018-12-18 05:44:43 status half-installed mawk:amd64 1.3.3-17ubuntu2
2018-12-18 05:44:43 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-12-18 05:44:43 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-12-18 05:44:43 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2018-12-18 05:44:43 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-12-18 05:44:43 status half-configured mawk:amd64 1.3.3-17ubuntu2
2018-12-18 05:44:43 status installed mawk:amd64 1.3.3-17ubuntu2
2018-12-18 05:44:43 startup archives unpack
2018-12-18 05:44:43 install adduser:all <none> 3.113+nmu3ubuntu4
2018-12-18 05:44:43 status half-installed adduser:all 3.113+nmu3ubuntu4
2018-12-18 05:44:43 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-12-18 05:44:43 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-12-18 05:44:43 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2018-12-18 05:44:43 status half-configured base-files:amd64 9.4ubuntu4
2018-12-18 05:44:43 status unpacked base-files:amd64 9.4ubuntu4
2018-12-18 05:44:43 status half-installed base-files:amd64 9.4ubuntu4
2018-12-18 05:44:43 status half-installed base-files:amd64 9.4ubuntu4
2018-12-18 05:44:43 status unpacked base-files:amd64 9.4ubuntu4
2018-12-18 05:44:43 status unpacked base-files:amd64 9.4ubuntu4
2018-12-18 05:44:43 upgrade base-passwd:amd64 3.5.39 3.5.39
2018-12-18 05:44:43 status half-configured base-passwd:amd64 3.5.39
2018-12-18 05:44:43 status unpacked base-passwd:amd64 3.5.39
2018-12-18 05:44:43 status half-installed base-passwd:amd64 3.5.39
2018-12-18 05:44:43 status half-installed base-passwd:amd64 3.5.39
2018-12-18 05:44:43 status unpacked base-passwd:amd64 3.5.39
2018-12-18 05:44:43 status unpacked base-passwd:amd64 3.5.39
2018-12-18 05:44:43 install bash:amd64 <none> 4.3-14ubuntu1
2018-12-18 05:44:43 status half-installed bash:amd64 4.3-14ubuntu1
2018-12-18 05:44:43 status unpacked bash:amd64 4.3-14ubuntu1
2018-12-18 05:44:43 status unpacked bash:amd64 4.3-14ubuntu1
2018-12-18 05:44:43 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2018-12-18 05:44:43 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2018-12-18 05:44:43 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2018-12-18 05:44:43 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2018-12-18 05:44:43 install coreutils:amd64 <none> 8.25-2ubuntu2
2018-12-18 05:44:43 status half-installed coreutils:amd64 8.25-2ubuntu2
2018-12-18 05:44:43 status unpacked coreutils:amd64 8.25-2ubuntu2
2018-12-18 05:44:43 status unpacked coreutils:amd64 8.25-2ubuntu2
2018-12-18 05:44:43 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2018-12-18 05:44:43 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2018-12-18 05:44:44 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2018-12-18 05:44:44 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2018-12-18 05:44:44 install debconf:all <none> 1.5.58ubuntu1
2018-12-18 05:44:44 status half-installed debconf:all 1.5.58ubuntu1
2018-12-18 05:44:44 status unpacked debconf:all 1.5.58ubuntu1
2018-12-18 05:44:44 status unpacked debconf:all 1.5.58ubuntu1
2018-12-18 05:44:44 install debianutils:amd64 <none> 4.7
2018-12-18 05:44:44 status half-installed debianutils:amd64 4.7
2018-12-18 05:44:44 status unpacked debianutils:amd64 4.7
2018-12-18 05:44:44 status unpacked debianutils:amd64 4.7
2018-12-18 05:44:44 install diffutils:amd64 <none> 1:3.3-3
2018-12-18 05:44:44 status half-installed diffutils:amd64 1:3.3-3
2018-12-18 05:44:44 status unpacked diffutils:amd64 1:3.3-3
2018-12-18 05:44:44 status unpacked diffutils:amd64 1:3.3-3
2018-12-18 05:44:44 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2018-12-18 05:44:44 status half-configured dpkg:amd64 1.18.4ubuntu1
2018-12-18 05:44:44 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-12-18 05:44:44 status half-installed dpkg:amd64 1.18.4ubuntu1
2018-12-18 05:44:44 status half-installed dpkg:amd64 1.18.4ubuntu1
2018-12-18 05:44:44 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-12-18 05:44:44 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-12-18 05:44:44 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2018-12-18 05:44:44 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2018-12-18 05:44:44 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2018-12-18 05:44:44 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2018-12-18 05:44:44 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2018-12-18 05:44:44 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2018-12-18 05:44:44 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2018-12-18 05:44:44 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2018-12-18 05:44:44 install findutils:amd64 <none> 4.6.0+git+20160126-2
2018-12-18 05:44:44 status half-installed findutils:amd64 4.6.0+git+20160126-2
2018-12-18 05:44:44 status unpacked findutils:amd64 4.6.0+git+20160126-2
2018-12-18 05:44:44 status unpacked findutils:amd64 4.6.0+git+20160126-2
2018-12-18 05:44:44 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2018-12-18 05:44:44 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2018-12-18 05:44:44 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2018-12-18 05:44:44 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2018-12-18 05:44:44 install grep:amd64 <none> 2.24-1
2018-12-18 05:44:44 status half-installed grep:amd64 2.24-1
2018-12-18 05:44:44 status unpacked grep:amd64 2.24-1
2018-12-18 05:44:44 status unpacked grep:amd64 2.24-1
2018-12-18 05:44:44 install gzip:amd64 <none> 1.6-4ubuntu1
2018-12-18 05:44:44 status half-installed gzip:amd64 1.6-4ubuntu1
2018-12-18 05:44:44 status unpacked gzip:amd64 1.6-4ubuntu1
